BookID,Title,Author,Genre,Description
67e94e13b91e491b6088e124,The Great Gatsby,F. Scott Fitzgerald,Classic,A tragic story of love and ambition set in the Jazz Age.
67e94ebcb91e491b6088e125,To Kill a Mockingbird,Harper Lee,Classic,A powerful tale of racial injustice in the American South.
67e94f0cb91e491b6088e126,1984,George Orwell,Dystopian,A chilling vision of a totalitarian future under constant surveillance.
67e94f71b91e491b6088e127,Pride and Prejudice,Jane Austen,Romance,A witty exploration of love and societal expectations in Regency England.
67e94feab91e491b6088e128,The Catcher in the Rye,J.D. Salinger,Coming-of-Age,A teen’s candid journey through isolation and disillusionment in postwar America.
67e95996b91e491b6088e138,The Hobbit,J.R.R. Tolkien,Fantasy,A reluctant hobbit embarks on an epic adventure to reclaim a lost treasure.
67e9522fb91e491b6088e12b,The Da Vinci Code,Dan Brown,Mystery,A symbologist uncovers a religious conspiracy through cryptic clues.
67e95e2cb91e491b6088e13b,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,A young wizard discovers his destiny at a magical school.
67e953bfb91e491b6088e12c,The Alchemist,Paulo Coelho,Inspirational,A shepherd follows his dreams and seeks treasure in a journey of self-discovery.
67e95413b91e491b6088e12d,The Road,Cormac McCarthy,Post-Apocalyptic,A haunting tale of a father and son surviving in a desolate world.
67e9546bb91e491b6088e12e,The Midnight Library,Matt Haig,Fiction,A woman explores parallel lives through a magical library at the edge of existence.
67e954c8b91e491b6088e12f,Sapiens,Yuval Noah Harari,Non-Fiction,A sweeping history of humankind from evolution to the modern age.
67e9554fb91e491b6088e130,Dune,Frank Herbert,Sci-Fi,A young noble battles for control of a desert planet rich in a valuable resource.
67e955d5b91e491b6088e131,The Silent Patient,Alex Michaelides,Thriller,A psychotherapist investigates why a famous artist stopped speaking after a murder.
67e95780b91e491b6088e132,Where the Crawdads Sing,Delia Owens,Mystery,A girl raised in the marsh becomes a murder suspect in a small town.
67e957f1b91e491b6088e133,The Book Thief,Markus Zusak,Historical Fiction,A girl finds comfort in books during the horrors of Nazi Germany.
67e95b2eb91e491b6088e139,The Night Circus,Erin Morgenstern,Fantasy,Two magicians duel in a magical circus that appears without warning.
67e958b5b91e491b6088e135,Educated,Tara Westover,Memoir,A woman escapes her survivalist upbringing to earn a PhD from Cambridge.
67e958f1b91e491b6088e136,The Handmaid's Tale,Margaret Atwood,Dystopian,A dystopian world where women are controlled and stripped of rights.
67e95925b91e491b6088e137,Circe,Madeline Miller,Historical Fiction,A retelling of the myth of Circe and a powerful witch banished to an island.
681964259366651726ea82f3,Chuyện cổ tích Tấm Cám,admin,Classic,Chuyện cổ tích về nhân vật Tấm
68222e1eedb87e04ecb0367e,Truyện dài: Cây Chuối Non Đi Giày Xanh,Nguyễn Nhật Ánh,Classic,Truyện dài: Cây Chuối Non Đi Giày Xanh
68222febedb87e04ecb03684,Dế Mèn phiêu lưu ký,Tô Hoài,Classic,Tác phẩm miêu tả cuộc phiêu lưu của một chú Dế Mèn qua thế giới loài vật và loài người.
682afb15103a033da6dfc1bc,Lê hoa trong mưa,Mila,Văn học Việt Nam,Truyện này viết theo bối cảnh và không gian giả tưởng do mình nghĩ ra có sự tham khảo của văn hóa địa danh các nước và không phản ánh chính xác bất cứ nền văn hóa nào trên thực tế.
682afca9103a033da6dfc1bf,Đất Rừng Phương Nam,Đoàn Giỏi,Văn học Việt Nam,Câu chuyện mượn hình ảnh một cậu bé bị lưu lạc trong thời kỳ kháng chiến chống Pháp ở Nam bộ để giới thiệu Đất rừng Phương Nam. Nơi đó một vùng đất vô cùng giàu có hào phóng và hùng vĩ với những con người trung hậu trí dũng một lòng một dạ theo kháng chiến.
682afe70103a033da6dfc1c2,Cô Gái Đến Từ Hôm Qua,Nguyễn Nhật Ánh,Văn học Việt Nam,Nếu ngày xưa còn bé Thư luôn tự hào mình là cậu con trai thông minh có quyền bắt nạt và sai khiến các cô bé cùng lứa tuổi thì giờ đây khi lớn lên anh luôn khổ sở khi thấy mình ngu ngơ và bị con gái “xỏ mũi”. Và điều nghịch lý ấy xem ra càng “trớ trêu’ hơn khi như một định mệnh Thư nhận ra Việt An cô bạn học thông minh thường làm mình bối rối bấy lâu nay chính là Tiểu Li con bé hàng xóm ngốc nghếch từng hứng chịu những trò nghịch ngợm của mình hồi xưa.
682aff52103a033da6dfc1c5,Những Ngày Thơ Ấu,Nguyên Hồng,Văn học Việt Nam,Những ngày thơ ấu là một tập hồi ký viết về tuổi thơ cay đắng khắc nghiệt của chính tác giả nhà văn Nguyên Hồng. Hồi ký được đăng trên báo năm 1938 xuất bản thành sách vào năm 1940. Tác phẩm gồm 9 chương với tên gọi: tiếng kèn chúa thương xót tôi trụy lạc trong lòng mẹ đêm nô-en trong đêm đông đồng xu cái sa ngã một bước ngắn.
682b016b103a033da6dfc1c8,Bồ câu không đưa thư,Nguyễn Nhật Ánh,Văn học Việt Nam,Câu chuyện bắt đầu từ lá thư làm quen để trong học bàn của Thục trong bộ ba Xuyến Thục Cúc Hương.Lá thư chân tình đã thu hút sự tò mò của bộ ba và họ bị cuốn hút vào trò chơi với người giấu mặt dần hồi kéo theo Phán củi anh chàng xấu xí vụng về của lớp làm quân sư và giúp xướng họa thơ. Cuộc truy tìm dẫn mọi người đến nhiều hiểu lầm tai hại và cả những bất ngờ thú vị. Và điều bất ngờ cuối cùng đã được phát hiện quá muộn. Vì sao? Xin để cho bạn đọc tự khám phá
682b041b103a033da6dfc1cb,Không Gia Đình,Hector Malot,Văn học phương Tây,Không gia đình kể chuyện một em bé không cha mẹ không họ hàng thân thích đi theo một đoàn xiếc chó khỉ rồi cầm đầu đoàn ấy đi lưu lạc khắp nước Pháp sau đó bị tù ở Anh cuối cùng tìm thấy mẹ và em. Em bé Rêmi ấy đã lớn lên trong gian khổ.
682b05fd103a033da6dfc1ce,Quán Gò đi lên,Nguyễn Nhật Ánh,Văn học Việt Nam,Bạn có biết Đo Đo là một địa danh nằm ở đâu không? Ở Quán gò đi lên đó mà. Câu chuyện xoay quanh quán ăn có tên là Đo Đo nằm ở giữa Sài Gòn làm cho bao nhiêu người thắc mắc tò mò. Cái tên Đo Đo nghe là lạ nó nằm ở đâu thế nhỉ? Cô chủ quán Thanh đã nhiều lần nhắc nhở mà Lâm Cúc Lan Kim... vẫn cứ quên mỗi khi khách hỏi: Đo Đo nằm ở đâu? Và ở trong quán Đo Đo này có một cô bé Cúc nói đặc tiếng Quảng rất chân thật chân thật đến nỗi ngây ngô một cô Kim thích lấy chồng ngoại một thằng Cải hiếu thảo không nỡ bỏ người mẹ nuôi để ra nước ngoài một thằng Lâm ham học cố gắng thi đậu đại học...
